license_id,brand_name,ingredient,drugbank_id,disease_name,disease_id,source,is_new
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,neoplasm of mature B-cells,,TxGNN Knowledge Graph,
MAL20091990AZ,Xyntha 500 IU Powder and Solvent for Solution for Injection,MOROCTOCOG ALFA,DB13999,symptomatic form of hemophilia in female carriers,,TxGNN Knowledge Graph,
MAL20091990AZ,Xyntha 500 IU Powder and Solvent for Solution for Injection,MOROCTOCOG ALFA,DB13999,hemophilia,,TxGNN Knowledge Graph,
MAL20091987AZ,ZYDENA 200 TABLET,UDENAFIL,DB06267,psychologic dyspareunia,,TxGNN Knowledge Graph,
MAL20091987AZ,ZYDENA 200 TABLET,UDENAFIL,DB06267,erectile dysfunction (disease),,TxGNN Knowledge Graph,
MAL20091987AZ,ZYDENA 200 TABLET,UDENAFIL,DB06267,premature ejaculation (disease),,TxGNN Knowledge Graph,
MAL20016146ACRZ,Opsumit  10mg Film-Coated Tablets,MACITENTAN,DB08932,pulmonary arterial hypertension,,TxGNN Knowledge Graph,
MAL15015107ACRZ,Betmiga prolonged-release tablets 50mg,MIRABEGRON,DB08893,overactive bladder (disease),,TxGNN Knowledge Graph,
MAL20026044ARZ,Rexulti 1mg film-coated tablets,BREXPIPRAZOLE,DB09128,endogenous depression,,TxGNN Knowledge Graph,
MAL20026044ARZ,Rexulti 1mg film-coated tablets,BREXPIPRAZOLE,DB09128,schizophrenia,,TxGNN Knowledge Graph,
MAL20026044ARZ,Rexulti 1mg film-coated tablets,BREXPIPRAZOLE,DB09128,major depressive disorder,,TxGNN Knowledge Graph,
MAL20026044ARZ,Rexulti 1mg film-coated tablets,BREXPIPRAZOLE,DB09128,anxiety disorder,,TxGNN Knowledge Graph,
MAL20026044ARZ,Rexulti 1mg film-coated tablets,BREXPIPRAZOLE,DB09128,unipolar depression,,TxGNN Knowledge Graph,
MAL09122042AZ,ASLENE CAPSULE 120MG,ORLISTAT,DB01083,obesity disorder,,TxGNN Knowledge Graph,
MAL09122042AZ,ASLENE CAPSULE 120MG,ORLISTAT,DB01083,monogenic obesity,,TxGNN Knowledge Graph,
MAL20026069ACRZ,CYMEVENE 500MG powder for concentrate for solution for infusion,GANCICLOVIR,DB01004,cytomegalovirus retinitis,,TxGNN Knowledge Graph,
MAL20026069ACRZ,CYMEVENE 500MG powder for concentrate for solution for infusion,GANCICLOVIR,DB01004,ventricular tachycardia,,TxGNN Knowledge Graph,
MAL20026069ACRZ,CYMEVENE 500MG powder for concentrate for solution for infusion,GANCICLOVIR,DB01004,herpes simplex virus keratitis,,TxGNN Knowledge Graph,
